游戏名,标签,评分
深空之眼,"['二次元', '3D', '动作']",8.7
绯梦契约,"['地牢', 'ARPG', '暗黑']",7.6
无尽噩梦：诡监狱,"['射击', '解谜', '恐怖']",8.5
汉末霸业,"['三国', '策略', '模拟经营']",8.6
阴阳界,"['放置', '恐怖', '卡牌']",9.3
纪念碑谷2,"['烧脑', '益智', '视错觉']",8.6
秘境传说：永恒地下城,['角色扮演'],7.5
凡尔赛法环,"['ARPG', '动作', '冒险']",6.6
无尽之炼,"['单机', '硬核', 'ARPG']",8.9
null,null,null
Little Kitten 小猫 - 我最喜欢的猫,"['休闲', '模拟经营', '宠物']",9.8
解忧小村落,"['休闲', '种田', '佛系']",8.2
大周列国志,"['单机', '策略', '模拟']",8.4
一路,"['烧脑', '治愈', '解谜']",9.4
迷你世界,"['开放世界', '像素', '可爱']",4.8
忍者必须死3,"['动作', '跑酷', '忍者']",3.7
江南百景图,"['经营', '模拟', '放置']",6.4
修仙家族模拟器,"['修仙', '文字', '模拟']",9.0
塔塔守卫战,"['单机', '塔防', '策略']",9.1
房间的秘密,"['解谜', '推理', '剧情']",9.4
民宿模拟器,"['模拟经营', '经营', '治愈']",6.9
弈剑行,"['动作', '多人联机', '武侠']",8.9
巅峰极速,"['竞速', '赛车', '多人联机']",6.3
水相,"['单机', '横版', '冒险']",7.4
重构,"['策略', '塔防', '烧脑']",9.5
使命召唤手游,"['FPS', '高画质', '射击']",7.9
白夜极光,"['二次元', '角色扮演', '日系']",8.0
建桥模拟器,['休闲'],8.2
蛋蛋大乱斗,"['双人', '多人联机', '魔性']",7.1
恶果之地,"['Roguelike', '射击', '冒险']",8.7
卡车之星,"['驾驶', '单机', '模拟']",7.1
金铲铲之战,"['自走棋', '策略', '英雄联盟']",7.7
真实车祸模拟,['竞速'],9.8
打工生活模拟器,['休闲'],7.4
苏打地牢2,['休闲'],0
火影忍者,"['格斗', '动作', '横版']",6.9
Steel And Flesh,"['动作', '单机', '中世纪']",9.0
辐射 避难所,"['生存', '经营', '单机']",8.5
无名江湖,"['放置', '卡牌', '武侠']",8.6
追着丧尸跑,['文字'],8.3
