游戏名,标签,评分
饥荒：新家园,"['生存', '多人联机', '饥荒']",7.0
血之诗：月之蚀,['动作'],9.8
方寸对决,"['国风', '策略', '武侠']",8.9
异梦残响,"['剧情', '乙女', '角色扮演']",9.5
麦吉大改造,"['换装', '模拟', '消除']",9.5
巡回列车,"['策略', '二次元', '冒险']",9.1
熊熊面包房,['休闲'],9.9
月光之城,['策略'],10
阿尔法喵计划,"['国风', '剧情', '女性向']",9.6
一拳超人：世界,"['动漫', '角色扮演', '动作']",9.1
时序残响,"['战棋', '新怪谈', '卡牌']",8.2
犹格索托斯的庭院,"['模拟经营', 'Steam移植', 'AVG']",9.1
完蛋！我被美女包围了！,['角色扮演'],7.3
养老小镇,"['模拟经营', '人物养成', '卡通']",9.7
纳萨力克之王,"['动漫', '二次元', '卡牌']",7.2
三国：NSLG,"['SLG', '策略', '战争']",9.3
幻谕,['角色扮演'],9.6
人生画廊,"['休闲', '解谜', '文字']",9.5
代号：长生,"['策略', '卡牌', '修仙']",9.1
心岛,"['建造', '模拟经营', '种田']",7.7
Milthm,['音乐'],9.8
无尽噩梦6,"['恐怖', '角色扮演', '动作']",9.9
风来之国 Eastward,"['冒险', '像素', '动作']",9.0
江湖人生,['文字'],9.1
仗剑封魔,"['武侠', '放置', '卡牌']",9.7
末日少将,['卡牌'],9.8
代号：BB,"['养成', '二次元', '动作']",8.6
战力之王,['休闲'],10
Project Rene-模拟人生,"['养成', '经营', '角色扮演']",7.1
星际战甲Warframe手游,"['MMORPG', '移植', '角色扮演']",9.3
来自星尘,"['买断制', '付费下载', '策略']",8.3
夏夜怪奇物语：真实恐怖游戏,['文字'],9.5
世界计划 缤纷舞台！feat. 初音未來,"['音游', '初音未来', '二次元']",9.2
江南古城入梦来,"['模拟经营', '经营', '国风']",9.8
梦想家园：泡泡玛特,"['建造', '模拟经营', '模拟']",9.6
欢乐吃货,"['放置', '卡牌', '策略']",8.5
引魂铃2破阵子,['冒险'],10
